STOP_ID,STOP,LAT,LON
943,MEADOW/ROSEWOOD,37.545237,-77.467925
950,ROBINSON/CARY,37.551125,-77.473623
951,ROBINSON/MAIN,37.552078,-77.473052
952,ROBINSON/GROVE,37.553926,-77.472038
953,ROBINSON/HANOVER,37.555051,-77.47141
955,ROBINSON/KENSINGTON,37.55765,-77.469825
958,ROBINSON/BROAD,37.560413,-77.46725
970,MCCLOY/MAPLEWOOD,37.550195,-77.484447
971,MCCLOY/IDLEWOOD,37.55124,-77.483398
974,25TH/LEIGH,37.534142,-77.41634
980,22ND/FAIRMOUNT,37.542265,-77.412857
981,22ND/U,37.54394,-77.411249
982,22ND/W,37.545351,-77.409939
990,21ST/PHAUP,37.550683,-77.4077
992,21ST/FAIRFIELD,37.54824,-77.409218
996,MOSBY/VENABLE,37.538663,-77.420282
997,MOSBY/O,37.540274,-77.419984
998,MOSBY/P,37.541795,-77.419128
1004,MECHANICSVILLE PIKE/CARVER,37.550652,-77.413335
1005,MECHANICSVILLE PIKE/PHAUP,37.552278,-77.412318
1006,WHITCOMB/MECHANICSVILLE PIKE,37.554111,-77.412237
1007,WHITCOMB/DEFOREST,37.554478,-77.414257
1009,WHITCOMB/REDWOOD,37.55401,-77.417825
1010,ROBINSON/BROAD,37.560062,-77.46771
1013,ROBINSON/KENSINGTON,37.557237,-77.470333
1015,ROBINSON/GROVE,37.553755,-77.472225
1017,X/22ND,37.546405,-77.409345
1018,22ND/W,37.545624,-77.409861
1020,22ND/U,37.543897,-77.411587
1021,22ND/FAIRMOUNT,37.542332,-77.412977
1028,WHITCOMB/LEBANON,37.55366,-77.420798
1029,MECKLENBURG/WOOD,37.552853,-77.422243
1033,HILDRETH/FORD,37.549534,-77.419886
1036,FORD/MECHANICSVILLE PIKE,37.549555,-77.41448
1041,MOSBY/P,37.54139,-77.419645
1042,MOSBY/LEIGH,37.540213,-77.42017
1058,MEADOW/GILBERT,37.5427,-77.469525
1059,MEADOW/WALKER,37.541734,-77.470054
1060,MEADOW/POWHATAN,37.540097,-77.470954
1061,MEADOW/AMELIA,37.539523,-77.471289
1062,MEADOW/COLORADO,37.537534,-77.472394
1064,MEADOW/NEVADA,37.535307,-77.47294
1065,MEADOW/PENNSYLVANIA,37.534165,-77.473242
1066,PENNSYLVANIA/GEORGIA,37.534034,-77.472375
1067,PENNSYLVANIA/GREENVILLE,37.534018,-77.471303
1068,PENNSYLVANIA/CARTER,37.533999,-77.470288
1077,CORBIN/CHEATWOOD,37.590273,-77.440975
1078,CORBIN/REX,37.588787,-77.441747
1079,CORBIN/NORTH,37.587007,-77.442653
1080,NORTH/MOSS SIDE,37.586168,-77.441747
1081,NORTH/MONTROSE,37.585329,-77.440319
1082,NORTH/HENRICO BOULEVARD,37.583347,-77.436858
1083,NORTH/FENDALL,37.58235,-77.435222
1090,NORTH/ESSEX,37.570138,-77.43287
1091,NORTH/BROOKLAND PARK BOULEVARD,37.57125,-77.432679
1099,NORTH/ALMA,37.583133,-77.436263
1100,NORTH/LABURNUM,37.584483,-77.438543
1101,NORTH/MONTROSE,37.585568,-77.440427
1102,MOSS SIDE/NORTH,37.586715,-77.441801
1103,MOSS SIDE/REX,37.588378,-77.440292
1104,NORTH/ESSEX,37.569891,-77.432787
1105,NORTH/CRAWFORD,37.572897,-77.43256
1106,NORTH/GLADSTONE,37.574697,-77.432417
1107,NORTH/MEREDITH,37.576278,-77.43256
1108,NORTH/LADIES MILE,37.578122,-77.432775
1115,PILOTS LANE/LABURNUM,37.585188,-77.433819
1117,LABURNUM/PLYMOUTH,37.584741,-77.436092
1118,LABURNUM/ALMA,37.584838,-77.435047
1125,NORTH/MEREDITH,37.576462,-77.432687
1126,NORTH/GLADSTONE,37.574522,-77.432528
1127,NORTH/CRAWFORD,37.572693,-77.432647
1131,7TH/MAIN,37.539163,-77.438136
1133,2ND/LEIGH,37.547648,-77.437177
1134,DUVAL NEAR 1ST,37.549793,-77.436303
1135,1ST/BAKER,37.550847,-77.43554
1137,1ST/HILL HOSPITAL,37.55337,-77.433203
1138,MONTEIRO/FELLS,37.557348,-77.43031
1139,MONTEIRO/WELLFORD,37.5585,-77.430263
1140,POE/LAMB,37.560125,-77.431185
1142,NORTH/POE,37.560598,-77.433283
1143,NORTH/ROBERTS,37.561577,-77.433243
1144,NORTH/GRAHAM,37.564075,-77.43314
1145,NORTH/E LANCASTER,37.565732,-77.43306
1147,NORTH/HOOPER,37.568363,-77.432893
1148,CARY/8TH,37.538037,-77.43833
1149,9TH/CARY,37.537702,-77.436692
1150,NORTH/HOOPER,37.568573,-77.432965
1151,NORTH/NORWOOD,37.566842,-77.433117
1152,NORTH/OVERBROOK,37.56508,-77.433187
1153,NORTH/WICKHAM,37.563817,-77.433252
1154,NORTH/ROBERTS,37.561778,-77.433323
1155,POE/NORTH,37.560089,-77.433171
1156,POE/LAMB,37.560007,-77.431527
1157,MONTEIRO/MINOR,37.558977,-77.43035
1158,MONTEIRO/FELLS,37.557478,-77.430413
1159,1ST/HILL,37.553088,-77.433593
1160,1ST/FEDERAL,37.552078,-77.434523
1161,1ST/BAKER,37.550613,-77.435898
1162,1ST/DUVAL,37.549652,-77.436827
1163,1ST/LEIGH,37.548105,-77.438298
1164,1ST/CLAY,37.547006,-77.439364
1165,1ST/MARSHALL,37.545841,-77.440463
1166,8TH/CARY,37.538068,-77.43802
1170,5TH/NORTH OF I 64 UNDERPASS,37.548899,-77.432038
1171,5TH/HOSPITAL,37.55188,-77.428848
1173,4TH/TRIGG,37.556898,-77.42531
1174,4TH/CHESTNUT,37.558621,-77.423952
1175,4TH/CYPRESS,37.56032,-77.422633
1176,4TH/JUNIPER,37.561997,-77.421322
1177,4TH/SPRUCE,37.562832,-77.420655
1178,4TH/MAGNOLIA,37.564508,-77.419343
1179,4TH/VICTOR,37.566185,-77.418032
1181,BROOKLAND PARK BOULEVARD/4TH,37.568907,-77.416475
1183,1ST/FRONT,37.5717,-77.418198
1185,1ST/POLLOCK,37.573729,-77.416606
1186,1ST/MILTON,37.575245,-77.415442
1187,HIGHLAND/1ST,37.576715,-77.414758
1188,HIGHLAND/ENSLOW,37.577237,-77.415847
1189,HIGHLAND/CAROLINA,37.577768,-77.416912
1191,HIGHLAND/DELAWARE,37.578842,-77.419145
1193,HIGHLAND/MISSOURI,37.57993,-77.421425
1194,PATRICK/MEADOWBRIDGE,37.580208,-77.422458
1195,MEADOWBRIDGE/MILTON,37.578385,-77.422093
